c1,c2,text,For Class
72953001,3/29/2018,These attacks seem so focused and planned. Who is responsible for the talking points?,
7.38E+17,3/29/2018,"Yesterday, we shared our views on   and the . Today, we will bring you our thoughts on  inspired by iamcardib recent instagram video on where her tax money goes.",
7.52E+17,3/29/2018,This was made to honor all victims of mass shootings.,
7.66E+17,3/29/2018,How are  and  activism connected? Learn more and  by contacting your rep about  at .,
7.77E+17,3/29/2018,This is crazy,
78663449,3/29/2018,U rly think the entire civilized world's run by fascists & all the people r enslaved bc they hav ? Weirdo,
7.88E+17,3/29/2018,About stumping the bearded one...,
7.96E+17,3/29/2018,Great - but when will the  address this  disaster?:,
7.98E+17,3/29/2018,Democrats are scared to death of this man because he's smart & real & not on their plantation..,
8.06E+17,3/29/2018,will real Americans listen to kids who eat  talk about  Stay in school kiddos you still have a lot to learn especially you  since you can't get into college and that Communist bald boy  who admitted to being a bully.,
8.20E+17,3/29/2018,Read much of the classification of weapons. This bill is horrendous!!,
8.20E+17,3/29/2018,Socialist/Communist Hoggwash Movement disguised as  continues their  narrative...,
8.21E+17,3/29/2018,1) it would cost you money 2) it would cost you money 3) it would cost you money,
8.26E+17,3/29/2018,received YUGE amounts of  to ensure that he doesn't enact responsible  legislation. Bought in this way by the  he can never adequately protect our children.,
8.37E+17,3/29/2018,8:30 am they might work gun bills. They also might not. We will find out then and let you know,
845738432,3/29/2018,Of course. These  Nazis want to completely unarm law abiding citizens.,
8.63E+17,3/29/2018,Proper  is hitting your target with only one round.,
8.66E+17,3/29/2018,Hogg represents everything wrong with current political environment. Spreads venom with bumper sticker knowledge and morally condemns anyone who doesn't agree with him. Put the away the dagger and read a book.,
8.68E+17,3/29/2018,Do you know what the  actually means?,
8.72E+17,3/29/2018,"BREAKING NEWS:  is starting a new band: ""Soy Boys"". Their first single  will be premiered via",
9.00E+17,3/29/2018,It would be horrible if this was the Tweet heard round the world! No one else's guards/guns are killing children. And your guards certainly have semi auto weapons.,
9.01E+17,3/29/2018,"      "", ""      He needs to learn facts, not conspiracies. We should all stand up to these poor unfactual  arguments by individuals like Hogg."", ""    He needs to learn the facts first before arguing bc  will not significantly change the outcomes on homicide by legal guns.""
)",
9.02E+17,3/29/2018,"What the hell's the matter you libtards. You equate a stupid kid, who was plunged into the spotlight under a circumstance that he WASN'T EVEN THERE, AND CRIES FOR  TO  (no wonder your numbers SUCK)",
9.07E+17,3/29/2018,No Play In This Ride by Black Out on Apple Podcasts,
9.12E+17,3/29/2018,A dive into my own thoughts on  and why it is ludicrous. A thread:,
9.15E+17,3/29/2018,"Shut the fuck up, you have no idea what your talking about. This is your new  for  . you said the very same thing with a real   , HES GOING TO TAKE ALLLLL OF OUR  LMFAO. ALL we want is comon sense  why is that hard 4you",
9.18E+17,3/29/2018,"Just booked a trip, but not with  because they advertise with bullies.  "", ""Action alert. Drop your sponsorship or I'll drop you.   "")",
9.36E+17,3/29/2018,This is so applicable to the  issue.  for,
9.50E+17,3/29/2018,from the  Thomas Jefferson How is modern  different from Jefferson's? What 18th century ideas deserve to be revisited?,
953085222,3/29/2018,"If it's not concise, that allows for two scenarios: either the law is compromised by loopholes, or it's implementation is too wide--leading to a total ban, i.e. the thing that  advocates say won't happen.",
9.55E+17,3/29/2018," is NOT interested in   =  deception"", ""_chart_life  &lt;-- Why is this such a difficult concept for people to grasp?  is a  issue."")",
9.58E+17,3/29/2018,Any Questions? Look at who  is in bed with...,
9.65E+17,3/29/2018,March For Our Lives / Manhattan / Sony A7 RII / Jupiter 3+ +,
9.69E+17,3/29/2018,Does this moronic simpleton of a police chief really think that a teacher with a handgun is going to stop a psychopath with an AR-15? Gimme a break.,
9.70E+17,3/29/2018,How can you? Change starts with us! -           weneedchange,
9.74E+17,3/29/2018,"Hey  you think liberals realize  is actually super racist. Like abortion level racist? The first bill passed because white law makers were afraid of black dudes peacefully protesting with guns."", ""Its amazing to know this history of  and realize it started in a pretty racist way.... Also Anti free speech, by conservatives. Good job leftists.  Stop being Racist."")",
9.79E+17,3/29/2018,As horrific as it was...these kids are letting this attention go to there head. We're losing site on the issue at hand.,
100832012,3/30/2018,"L"")",
1048817844,3/30/2018,"I don't hang out with many gun owners, but I do work for one... he is an Alex Jones listening (I think) conservative. He supports: - background checks - waiting periods - psych evals (his idea, not mine) I'm gobsmacked and encouraged!",
1093352520,3/30/2018,Just one armed citizen could have stopped this.,
110165014,3/30/2018,The Six Stages of Gun Grabbing,
112743625,3/30/2018,The solution to gun violence is on its way !,
112902773,3/30/2018,How about this for a solution to school shootings - stop cramming teenagers together into a propaganda institution that conditions them to respond to bells and drugs the ones who don't like sitting for hours under fluorescent lights.,
1175808242,3/30/2018,"That ship sailed already. Look at issue after issue that has wide majority of public support being voted down by congress,    . That's how you know you're no longer democracy. The will of the people is ignored.",
119161140,3/30/2018,Hand your children over to the government?? I don't care what you happen to sow as a result of choices of compounding sheer stupidity,
1219175563,3/30/2018,. JUST IN: Johnson & Johnson to halt ads on Laura Ingraham's show after attack on Parkland survivor,
128767133,3/30/2018,"It's fucking incredible, they have to fight tooth n nail 4 a living wage, yet they have money to arm and train teachers to carry concealed weapons. I call BS! They should all be paid combat pay because of commonplace shootings.",
12896172,3/30/2018,Anti gun activist  rejects Laura  apology after calling for advertiser boycott,
13133312,3/30/2018,"Alcoholics fill the same void a different way. "", ""This is why we . Because adolescent GI Joe assholes spend every waking minute cultivating--with their friends--the idea that Lethal Force is not just a certainty but a duty. You're the motherfuckers in those old film reels executing civilians. "")",
132043654,3/30/2018,My fundraising shirt is one of 's staff picks! Bonfire has been a dream to work with and their site is helping me work on a cause I believe in. Win/win!,
1320713611,3/30/2018,All I'm asking is that it becomes as difficult to purchase a gun in this country as it is for me to schedule a doctors appointment with my health insurance provider,
132959512,3/30/2018,Conservatives want the kids to leave their guns alone & stop bullying each other instead. Yet 20 minutes later they are bullying these kids on social and the media...and they're ADULTS. WTF?,
1338290012,3/30/2018,America's gun debate. Stay up to date with news on gun rights and gun control.,
1412064840,3/30/2018,Eric Holder Wants to  People about Guns,
14187632,3/30/2018,This is why we can't take any of you   idiots seriously. Stop broadcasting your grotesque ignorance.,
1426335816,3/30/2018,_kasky Not all of us. I'm inspired by all of u for ur organization & some early success for common sense gun laws. I'm also embarrassed that we adults couldn't manage to handle this already.  managed to get 1 bill passed that expired after 10 yrs.,
1436555834,3/30/2018,Vice Chair calls for the repeal of . This extreme position only makes the discussion harder,
1440658580,3/30/2018,For those who keep screaming  ban assault weapons here ya go... I'd say Stanford is reputable,
14642711,3/30/2018,The only thing that will stop a bad guy with a constitutional amendment is a good guy with a constitutional amendment,
1478462857,3/30/2018,"Stop expecting these children to know anything about our . It's written in cursive,I don't think they can read it.",
14800483,3/30/2018,And you want hear anything about this from  because it will go against their  agenda. They didn't even march for  when the  killed all these people.,
148524657,3/30/2018,"The  is ignoring every American calling for . Children are being killed in schools, innocent people are being shot by police, & too many are taking their own lives because we can't discuss comprehensive  in",
148867097,3/30/2018,crap was not part of a state budget deal.,
150043315,3/30/2018,"""Support  you child hating bigot!"" ...A parody message on behalf of the brown-shirts behind  &",
1518714716,3/30/2018,"_news Yes REALLY. If he was an ACTIVE Supreme Court justice then you would have a leg to stand on this argument but this means nothing, he means nothing. Remember we all have opinions(  rights)doesn't mean we're gonna change laws.  doesn't mean take away guns.",
15197290,3/30/2018,This is a NECESSARY part of the  conversation. Let's not forget POC have been protesting gun violence for a long time.,
15300023,3/30/2018,"Oh hell no, . We will not allow you to favor the  over the people of Florida. Get ready for a fight.",
15373444,3/30/2018,"China established  in 1935. From 1948 to 1952, over 20,000,000 political dissidents were rounded up and exterminated. They were unable to defend themselves.",
1541562954,3/30/2018,"Seen a lot of  people telling gun owners to \""compromise\"" and agree to gun legislation. \""Compromise\"" means both sides get something. If we give up something, what are we getting in return? Nothing. Because  means full gun ban. That's your end goal."", "": \""Focus less on fear and more on facts.\"" Also David Hogg: \""The NRA is literally splattered in the blood of children! We need to march to PROTECT OUR LIVES! !\""   ""
)",
15440629,3/30/2018,Even the 1st amendment has qualifications like not yelling FIRE in a crowded theater. It's time for,
15557893,3/30/2018,.,
1555963590,3/30/2018,"6 down, 6 to go.",
15596467,3/30/2018,"How dare you wrap yourself in ""Holy Week,"" you sanctimonious little harridan. Your apology is all about MONEY.",
15736424,3/30/2018," Not an expert, but doesn't the barrel rifling but the projectile into a spiral? It's for added accuracy. Similar to putting a spin on a football when throwing one.  is nonsense  is tyranny"", "" Even though our Right to keep and bear arms, isn't given to us by the Second Amendment.  is nonsense  is tyranny   "", ""  Nukes & Chemical weapons are ordinances, not bearable arms. Anyone can own a drone.  is nonsense  is tyranny"", 
"" So what is  then? It's government controlling the People's Right to keep and bear arms. No matter how much, it's still infringing. Speeding doesn't infringe on other People's Rights. Trespassing would.  is nonsense  is tyranny"", ""False choice fallacy. That trade off means giving up the Right of Liberty for a false sense of security. We know the results of such from history.  is nonsense  is tyranny"", "" _33  What about in 1482?  is nonsense  is tyranny"", 
"" Such as violence for self-defense/preservation?  is nonsense  is tyranny"", ""   So in other words, violating the Inherent Rights of Innocent People to keep and bear arms just because a criminal might misuse the same tool is ok with you?  is nonsense  is tyranny"")",
1579242810,3/30/2018,"_kasky Thank YOU for starting a movement for .     "", ""  We all owe you thanks for using your pain to speak out against  and starting a movement for better      "")",
1583986518,3/30/2018,"Hai Wang, a  immigrant in  writes that many in his community support some  but carry guns for their own safety.",
15950681,3/30/2018,Focusing on people of color will help the  movement reach new heights.,
1606029594,3/30/2018,"This is a bit of a long read, but worth it.Using the Brady campaign information shows more  results in more death.    "", "" isn't about controlling  it's about control. When the people have no guns, the government still has them. Do you really think they can be trusted? Man you're fools. History repeats itself because fools believe they are too smart to let it happen again."")",
1608283824,3/30/2018,"The DNC is running the  campaign just like they ran Hillary's campaign. Same tone-deaf, overly sensitive privileged white bully with absolutely no solid arguments and no real credibility. 100% scripted. Prolly using the same consultants & strategy experts.",
16155872,3/30/2018,"Upgraded to a biometric vault. Now you'll have to cut off my finger to get in. My form of gun control.    "", ""The leftist argument defies logic to begin with. The hypocrisy and the selective outrage is sickening at best. The numbers below is one city in 3 months, Not talking about it, no outrage, certainly no march. Don't talk Parkland if you don't include this.  "", ""Why we loath you . Can you be more disingenuous? Can you be more of a hypocrite. So you get security and we're on our own? Can you be more ignorant, because I'd bet money your security isn't carrying revolvers.   ""
)",
16185983,3/30/2018,"_p_hamilton  We have every method of  imaginable but the rate of killing the unborn has not decreased. We live in year 2018, abortion should be so rare it's done in hospitals. However some are sure more  will reduce gun deaths.",
161875839,3/30/2018,"Sadly, students are exploited by ppl who don't care how it effects their lives. Bad PR, can't win looking like radicals. Even KKK know to not debate destroys credibility.  data: 88% not there on  .90% over age18. Rhetoric & mannerisms big turn-off.",
16197772,3/30/2018,"Oh sure ... nobody's calling for repeal of the 2nd Amendment. Except when they ARE. Hey Chris Cuomo ... wanna make some adjustments to your delusion?  "", ""Dear : Take a lesson from \""Cindy Sheehan. You'll probably have to Google that.   "")",
16289503,3/30/2018,"THE WISEST WORDS I'VE HEARD ON THIS ISSUE \""Americans, I'm watching the  protests from Italy. Take a European's advice: Last century our governments disarmed us. Now, in Germany & the UK they arrest you..."", ""THE WISEST WORDS I'VE HEARD ON THIS ISSUE TO DATE \""Americans, I'm watching the  protests from Italy. Take a European's advice: Last century our governments disarmed us. Now, in Germany & the UK they..."", ""THE WISEST WORDS I'VE HEARD ON THIS ISSUE \""Americans, I'm watching the  protests from Italy. Take a European's advice: Last century our governments disarmed us. Now, in Germany & the UK they arrest...""
)",
1640132880,3/30/2018,I am sick of the  debate. Let's put all the people with guns on one side and all the people without guns on the opposite side. Then let's see who wins. No? That's exactly what happens when citizens can't protect themselves.,
16479595,3/30/2018,I don't see a problem with mandatory gun use certification training and liability insurance for gun owners. We need to be certified or licensed for just about anything else.,
1649262163,3/30/2018,I don't think it's a coincidence that the majority of anti-gun control posts I see on the internet are also completely illiterate and nonsensical.      and  don't mean,
166059782,3/30/2018,"Guns don't kill people, toddlers do. Right? Oh I know, If only that 7 month old baby had a gun this would never have happened. Cool. Got it.",
1668109656,3/30/2018,"   A BOOMERS extra (c) stevenn beck, here's PUBLIC ENEMY * FOLLOW ON FB, INSTAGRAM + TWITTER!           "", ""A BOOMERS extra (c) stevenn beck, here's PUBLIC ENEMY * FOLLOW ON FB, INSTAGRAM + TWITTER!           "", ""A BOOMERS extra (c) stevenn beck, here's ALIEN NATION * FOLLOW ON FB, INSTAGRAM + TWITTER!           "", 
""BOOMERSabout the generation that was gong to \""change the world\"" - + INSTEAD gave us DONALD TRUMP! CHECK OUT BOOMERS and PLS \""SPREAD THE WORD!\""            "", ""BOOMERSabout the generation that was gong to \""change the world\"" - + INSTEAD gave us DONALD TRUMP! CHECK OUT BOOMERS and PLS \""SPREAD THE WORD!\""            "", 
""A BOOMERS extra (c) stevenn beck, here's LOVE OF THE GAME * FOLLOW ON FB, INSTAGRAM + TWITTER!           "", ""A BOOMERS extra (c) stevenn beck, here's SELF-ABSORBED * FOLLOW ON FB, INSTAGRAM + TWITTER!           "", ""TODAY'S BOOMERS (c) stevenn beck, here's GUT REACTION * FOLLOW ON FB, INSTAGRAM + TWITTER!           "", 
""A BOOMERS extra (c) stevenn beck, here's LAST LAUGH * FOLLOW ON FB, INSTAGRAM + TWITTER!           "", ""MISS yesterday's BOOMERS? (c) stevenn beck, here's OPENING DAY * FOLLOW ON FB, INSTAGRAM + TWITTER!           "", ""TODAY'S BOOMERS (c) stevenn beck, here's OPENING DAY * FOLLOW ON FB, INSTAGRAM + TWITTER!           "", 
""A BOOMERS extra (c) stevenn beck, here's SOME LIKE IT HOT * FOLLOW ON FB, INSTAGRAM + TWITTER!           "", ""BOOMERSabout the generation that was gong to \""change the world\"" - + INSTEAD gave us DONALD TRUMP! CHECK OUT BOOMERS and PLS \""SPREAD THE WORD!\""            "", ""A BOOMERS extra (c) stevenn beck, here's SHOW ME THE MONEY * FOLLOW ON FB, INSTAGRAM + TWITTER!           ""
)",
16709048,3/30/2018,"The scandal of the police shooting of  is all over the media. Let's blow this up, and make it a national debate and protest, against police brutality, not forgetting the obvious connection with the pro- protests.",
16824117,3/30/2018,"Dear officers, why did you shoot Stephon Clark in the back? Did you think one of his farts would kill you?",
169108727,3/30/2018,BULLET POINTS about the NONSENSICAL RIFLE ASSOCIATION: The world laughs over  inaction in America brought to you by the  and  |,
169585473,3/30/2018,"I am going to suggest the name \""BoreMe Daniels\"" would work well for him. .         "", ""       "")",
17052001,3/30/2018,"As the students of  take the world stage to demand stricter gun laws, many people in the Jackson metro area recall that 20 years ago, Rankin County had its own high-profile school shooting.",
1716488826,3/30/2018,can either of you 2 outline the exact line in bill C-17 that would have prevented this shooting.,
17423305,3/30/2018,"   Hey  please vote for this woman "", ""We demand your support against the  thugs. Please get involved.  _cook           via "")",
174308661,3/30/2018,Probably why they push planned parenthood look at all these dumbass kids.,
174866706,3/30/2018,"  "", "": Why do you need a gun? who are you afraid of? Me: why do we need ?  Because crazy people are getting guns and killing innocent people. Me:"")",
175386442,3/30/2018,"_SierraWhiskee Can't wait till they get pulled over for drinking and driving. It'll happen, just you watch. We're gonna march for ""Make DUI/DWI illegal""...Sounds about right compared to the children's parade.. Oopps... march for",
175711368,3/30/2018,doesn't care about your APOLOGIES just like he doesn't care about your THOUGHTS & PRAYERS. He cares about your inaction on  & the fact that you know better yet STILL CHOOSE not to act no matter how much .,
17605914,3/30/2018,ICYMI: Here's my interview with  in which she talked about    the  and the important role of local broadcasters in our communities.,
17664609,3/30/2018,"Your Second Amendment will always start with A. W E L L. R E G U L A T E D. M I L I T I A.  A WELL REGULATED MILITIA A Well Regulated Militia A well REGULATED militia A well regulated militia is REGULATED, WELL.  =  means to REGULATE",
17793105,3/30/2018,"_33    He just has the same tired old  nonsense (AKA ). Nothing new, just another \""share blue\"" nobody."", ""   The clown is still begging for attention. Amusing. What a staggering presence, with 16 followers. As if anyone cares about his presence.  "", 
""   But it DOES do a nice job of exposing  nonsense (AKA ) as nothing but a disarmist agenda We have ethics and SCOTUS rulings Gun grabbers have impotent insults and whining"")",
18080729,3/30/2018,Why Focusing on  Will Help the Movement for  Succeed,
180910851,3/30/2018,"Just proves that there's more sick amongst us than we realize, that's why EVERYONE should continue to SPEAK UP and SPEAK OUT! This is not a game at the arcade, it's reality!",
18122583,3/30/2018,"Tue 28 Nov 2017 After Puls Nightclub Shooting House Democrats end  sit-in after 26 hours : ...""The collective demand for a vote on measures to...",
184208116,3/30/2018,hey Emma. This meme has been traveling around some pro- internet forums. Can you confirm for us that it's a fake? Thanks!,
18616313,3/30/2018,Kids around the world wish they had the same power to change the world they live in.        _kasky,
18623955,3/30/2018,"Sorry, Despite Gun-Control Advocates' Claims, U.S. Isn't The Worst Country For Mass Shootings |",
1867978148,3/30/2018,Quit trying to silence our generation simply because you disagree.,
1879644984,3/30/2018,"The truth hurts the anti-gun agenda, because the FACTS just do not follow their lies. Of 43 Mass shootings from 2012-2016, only 6 were with a rifle. 0.2% of firearms deaths were in mass shootings. WAKE UP AMERICA YOUR BEING LIED TO!",
18985345,3/30/2018,"Good article. ""gun-rights proponents have a reasonable and commonsense suspicion that the real goal is to do away with most or all gun rights.""",
191702150,3/30/2018,"The  has arrived     There coming for your guns, just look the  did",
19213538,3/30/2018,Statistics 2000-2016. So not even counting the madness in 2017 which is 457 incidents!!! Ridiculous!!!,
1923381960,3/30/2018,You control them with both hands until you become proficient enough to control them one handed.,
