status_id,created_at,user_id,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,retweet_status_id,retweet_text,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords
x972638584300867584,3/11/2018 1:01,x833054275836211201,JC20204,"@realDonaldTrump @IvankaTrump @DonaldJTrumpJr @FLOTUS @USAGSessions
  @DoJ @FBI 
   
  #resist #resistance #theresistance #democrats #bluewave #guncontrol #gunviolence #commonsenseguncontrol #guncontrolnow #gunban
  #NRA #nrabloodmoney #banassaultweap",Twitter Web Client,,x25073877,realDonaldTrump,TRUE,FALSE,0,0,resist resistance theresistance democrats bluewave guncontrol gunviolence commonsenseguncontrol guncontrolnow gunban NRA nrabloodmoney banassaultweapons,,twitter.com/VickyWillkan/s?€?,https://t.co/mlrGZXgSUS,https://twitter.com/VickyWillkan/status/962432202876342273,,,,,,,,,x25073877 52544275 39344374 818876014390603776 799641010699718656 34372586 17629860,realDonaldTrump IvankaTrump DonaldJTrumpJr FLOTUS USAGSessions doj FBI,und,x962432202876342273,@jerome_corsi #FBICorruption #Comey https://t.co/qizWCmay2e,,,,,,,,,,,
x972638429661016064,3/11/2018 1:00,x833054275836211201,JC20204,"@realDonaldTrump @IvankaTrump @DonaldJTrumpJr @FLOTUS @USAGSessions
  @DoJ @FBI 
   
  #resist #resistance #theresistance #democrats #bluewave #guncontrol #gunviolence #commonsenseguncontrol #guncontrolnow #gunban
  #NRA #nrabloodmoney #banassaultweap",Twitter Web Client,,x25073877,realDonaldTrump,TRUE,FALSE,1,1,resist resistance theresistance democrats bluewave guncontrol gunviolence commonsenseguncontrol guncontrolnow gunban NRA nrabloodmoney banassaultweapons,,twitter.com/Knowhatmatters?€?,https://t.co/T8qWEn8j08,https://twitter.com/Knowhatmatters/status/962473645523087360,,,,,,,,,x25073877 52544275 39344374 818876014390603776 799641010699718656 34372586 17629860,realDonaldTrump IvankaTrump DonaldJTrumpJr FLOTUS USAGSessions doj FBI,und,x962473645523087360,"@jerome_corsi @JeromeSeraphim Everything is justified for @AdamSchiffCA. He needs to discredit Real Memo #2 to prevent exposure of more corruption, &amp; possibly his own. We got this, Adam. Don?€?t need you to read it to us to understand. We see &amp; so",,,,,,,,,,,
x972638251747028992,3/11/2018 1:00,x833054275836211201,JC20204,"@realDonaldTrump @IvankaTrump @DonaldJTrumpJr @FLOTUS @USAGSessions
  @DoJ @FBI 
   
  #resist #resistance #theresistance #democrats #bluewave #guncontrol #gunviolence #commonsenseguncontrol #guncontrolnow #gunban
  #NRA #nrabloodmoney #banassaultweap",Twitter Web Client,,x25073877,realDonaldTrump,TRUE,FALSE,0,0,resist resistance theresistance democrats bluewave guncontrol gunviolence commonsenseguncontrol guncontrolnow gunban NRA nrabloodmoney banassaultweapons,,twitter.com/JC20204/status?€?,https://t.co/8FQnZkraOw,https://twitter.com/JC20204/status/972611947840581632,,,,,,,,,x25073877 52544275 39344374 818876014390603776 799641010699718656 34372586 17629860,realDonaldTrump IvankaTrump DonaldJTrumpJr FLOTUS USAGSessions doj FBI,und,x972611947840581632,https://t.co/zsrtHzikcO,,,,,,,,,,,
x972638206595358720,3/11/2018 0:59,x833054275836211201,JC20204,"@realDonaldTrump @IvankaTrump @DonaldJTrumpJr @FLOTUS @USAGSessions
  @DoJ @FBI 
   
  #resist #resistance #theresistance #democrats #bluewave #guncontrol #gunviolence #commonsenseguncontrol #guncontrolnow #gunban
  #NRA #nrabloodmoney #banassaultweap",Twitter Web Client,,x25073877,realDonaldTrump,TRUE,FALSE,0,0,resist resistance theresistance democrats bluewave guncontrol gunviolence commonsenseguncontrol guncontrolnow gunban NRA nrabloodmoney banassaultweapons,,twitter.com/JC20204/status?€?,https://t.co/IytS96xfjP,https://twitter.com/JC20204/status/972612631067586563,,,,,,,,,x25073877 52544275 39344374 818876014390603776 799641010699718656 34372586 17629860,realDonaldTrump IvankaTrump DonaldJTrumpJr FLOTUS USAGSessions doj FBI,und,x972612631067586563,https://t.co/y9hSmctcFs,,,,,,,,,,,
x972638047685799942,3/11/2018 0:59,x833054275836211201,JC20204,"@realDonaldTrump @IvankaTrump @DonaldJTrumpJr @FLOTUS @USAGSessions
  @DoJ @FBI 
   
  #resist #resistance #theresistance #democrats #bluewave #guncontrol #gunviolence #commonsenseguncontrol #guncontrolnow #gunban
  #NRA #nrabloodmoney #banassaultweap",Twitter Web Client,,x25073877,realDonaldTrump,TRUE,FALSE,0,0,resist resistance theresistance democrats bluewave guncontrol gunviolence commonsenseguncontrol guncontrolnow gunban NRA nrabloodmoney banassaultweapons,,twitter.com/JC20204/status?€?,https://t.co/cUozasXpFE,https://twitter.com/JC20204/status/972634343679066112,,,,,,,,,x25073877 52544275 39344374 818876014390603776 799641010699718656 34372586 17629860,realDonaldTrump IvankaTrump DonaldJTrumpJr FLOTUS USAGSessions doj FBI,und,x972634343679066112,"This just in: Do the tariffs - - there will be no war

if they get testy - - I don't need a mercedes this year - - i'll buy what ever we make here -

Do the deal - it will work

bring back our jobs they used NAFTA to send oversees- we were sold out

Mr @realDonaldTrump go for it https://t.co/cUyxltGvnM",,,,,,,,,,,
x972638034289135619,3/11/2018 0:59,x258216576,Saazsea,#2A #2AShallNotBeInfringed #2Amendment #MAGA #TRUMP2020 #GunControl #ThinBlueLine #GreatAwakening #WeThePeople #BackTheBlue #tcot #ccot #Shadowban #ConstitutionalRepublic #Constitution #Republic #WeThePeople #WeThePeopleDemandJustice #Freedom #FreedomOfSpeech https://t.co/3K7mdyvAkL,Twitter Web Client,,,,TRUE,FALSE,0,0,2A 2AShallNotBeInfringed 2Amendment MAGA TRUMP2020 GunControl ThinBlueLine GreatAwakening WeThePeople BackTheBlue tcot ccot Shadowban ConstitutionalRepublic Constitution Republic WeThePeople WeThePeopleDemandJustice Freedom FreedomOfSpeech,,twitter.com/adjunctprofess?€?,https://t.co/3K7mdyvAkL,https://twitter.com/adjunctprofessr/status/972465162442731521,,,,,,,,,,,und,x972465162442731521,"<f0><U+009F><U+009A><U+00A8><f0><U+009F><U+009A><U+00A8><f0><U+009F><U+009A><U+00A8> Attention Trump nation!
Call your US representative now!
The gun grab is hidden in the Fix NICS bill!
#TrumpTrain 
#Trump2020
#MAGA<f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8>
#2A
#GunGrab
#QAnon
#GreatAwakening 
#WeThePeople
#ThinBlueLine
#BackTheBlue
#AdjunctProfessr
Google this title to see the video!
<f0><U+009F><U+0094><U+00BB><f0><U+009F><U+0094><U+00BB><f0><U+009F><U+0094><U+00BB> https://t.co/FNdpvt3HRt",,,,,,,,,,,
x972637965733236738,3/11/2018 0:58,x833054275836211201,JC20204,"@realDonaldTrump @IvankaTrump @DonaldJTrumpJr @FLOTUS @USAGSessions
  @DoJ @FBI 
   
  #resist #resistance #theresistance #democrats #bluewave #guncontrol #gunviolence #commonsenseguncontrol #guncontrolnow #gunban
  #NRA #nrabloodmoney #banassaultweap",Twitter Web Client,,x25073877,realDonaldTrump,TRUE,FALSE,0,1,resist resistance theresistance democrats bluewave guncontrol gunviolence commonsenseguncontrol guncontrolnow gunban NRA nrabloodmoney banassaultweapons,,twitter.com/djf510/status/?€?,https://t.co/QLqoEKMJlP,https://twitter.com/djf510/status/972634815001395203,,,,,,,,,x25073877 52544275 39344374 818876014390603776 799641010699718656 34372586 17629860,realDonaldTrump IvankaTrump DonaldJTrumpJr FLOTUS USAGSessions doj FBI,und,x972634815001395203,https://t.co/BvzN8o6VIX,,,,,,,,,,,
x972637912306147328,3/11/2018 0:58,x14911797,SanDiegoSteven,I created a new #bannerad for my profile that reflects my #politics on #GunControl and my desire to work to enact an #assaultweaponban. Take a look and steal it if you want. #NeverAgain #EnoughIsEnough #MSDStrong #stoptheNRA #BanAssaultWeapons #Semiautomaticskill https://t.co/EcFq3mKbHx,Twitter Web Client,,,,FALSE,FALSE,6,1,bannerad politics GunControl assaultweaponban NeverAgain EnoughIsEnough MSDStrong stoptheNRA BanAssaultWeapons Semiautomaticskill,,,,,http://pbs.twimg.com/media/DX-Ar2GVwAAhtvd.jpg,https://t.co/EcFq3mKbHx,https://twitter.com/SanDiegoSteven/status/972637912306147328/photo/1,photo,http://pbs.twimg.com/media/DX-Ar2GVwAAhtvd.jpg,https://t.co/EcFq3mKbHx,https://twitter.com/SanDiegoSteven/status/972637912306147328/photo/1,,,,en,,,,,https://api.twitter.com/1.1/geo/id/a592bd6ceb1319f7.json,San Diego,"San Diego, CA",city,United States,US,,,-117.282538 -116.9274403 -116.9274403 -117.282538 32.53962 32.53962 33.0804044 33.0804044
x972637761168699394,3/11/2018 0:58,x833054275836211201,JC20204,"@realDonaldTrump @IvankaTrump @DonaldJTrumpJr @FLOTUS @USAGSessions
  @DoJ @FBI 
   
  #resist #resistance #theresistance #democrats #bluewave #guncontrol #gunviolence #commonsenseguncontrol #guncontrolnow #gunban
  #NRA #nrabloodmoney #banassaultweap",Twitter Web Client,,x25073877,realDonaldTrump,TRUE,FALSE,0,0,resist resistance theresistance democrats bluewave guncontrol gunviolence commonsenseguncontrol guncontrolnow gunban NRA nrabloodmoney banassaultweapons,,twitter.com/realDonaldTrum?€?,https://t.co/pVYaGa7qaD,https://twitter.com/realDonaldTrump/status/972622325454659585,,,,,,,,,x25073877 52544275 39344374 818876014390603776 799641010699718656 34372586 17629860,realDonaldTrump IvankaTrump DonaldJTrumpJr FLOTUS USAGSessions doj FBI,und,x972622325454659585,"Join me LIVE in Moon Township, Pennsylvania at 7:00pmE. Great crowd for a #MAGA rally!
https://t.co/PYJNg0WGDL",,,,,,,,,,,
x972637710287548417,3/11/2018 0:57,x833054275836211201,JC20204,"@realDonaldTrump @IvankaTrump @DonaldJTrumpJr @FLOTUS @USAGSessions
  @DoJ @FBI 
   
  #resist #resistance #theresistance #democrats #bluewave #guncontrol #gunviolence #commonsenseguncontrol #guncontrolnow #gunban
  #NRA #nrabloodmoney #banassaultweap",Twitter Web Client,,x25073877,realDonaldTrump,TRUE,FALSE,1,0,resist resistance theresistance democrats bluewave guncontrol gunviolence commonsenseguncontrol guncontrolnow gunban NRA nrabloodmoney banassaultweapons,,twitter.com/JC20204/status?€?,https://t.co/xP9mBvFo2D,https://twitter.com/JC20204/status/972637062850646018,,,,,,,,,x25073877 52544275 39344374 818876014390603776 799641010699718656 34372586 17629860,realDonaldTrump IvankaTrump DonaldJTrumpJr FLOTUS USAGSessions doj FBI,und,x972637062850646018,"Cool - we are building the wall

that had to kill schumer and schiff https://t.co/sagWsPjOpy",,,,,,,,,,,
