"c1","c2","text"
"2655016116","3/10/2018 ","And yet the  also claims teenagers are too immature to speak about"
"2660327456","3/10/2018 ","super sad!"
"27082192","3/10/2018 ","We need to stop taking the  bait. They know they can??t win this. It??s designed to make level headed people who are frustrated scream even louder so they can further energize and drive their membership by calling out how ??irrational?"
"2715103010","3/10/2018 ","American revolution against the British gun control"
"274122914","3/10/2018 ","So can we talk about  NOW??"
"275795343","3/10/2018 "," Since 10/05/1991 I was registered with the  I became disillusioned after the election of  and the  standing on    etc. I just became a  and I'm so happy! Have a great weekend!"", "" Since 10/05/1991 I was registered with the  I became disillusioned after the election of  and the  standing on    etc. I just became a  and I'm so happy!"", "" Since 10/05/1991 I was registered with the  I became disillusioned after the election of  and the  standing on    etc. I just became a  and I'm so happy!""
)"
"278216480","3/10/2018 ","Their members are tiny minority of US population, and even most of their members support some reasonable  - but their sponsors in the gun industry won't allow them to tolerate even any minimal protections"
"278661432","3/10/2018 ",". Once your next NRA check arrives, you'll forget this ""deep sadness"" for  as quickly as you forgot . Mr. President, how many children & veterans have to die so you can be rich?"
"2809887176","3/10/2018 ","     "", "" "")"
"2821330426","3/10/2018 ","77% of  support stricter gun laws. We stand with you"
"28236017","3/10/2018 ","Should  be allowed to play with guns? Read 's interview w/ Melinda Walden, professor & early childhood teacher who did an experiment w/ kids & guns. Read this & share ur thoughts!"
"2825382164","3/10/2018 ","f Todd ""legitimate rape"" Akin can be laughed out of the conversation on women's health and abortion for being fucking stupid, than anyone who accuses others of ""gunsplaining"" during a gun control discussion should get the same treatment."
"282814375","3/10/2018 ","Trojan Horse for   we??re watching & taking notes. //youtu.be/Csud7X6ZixM"
"2844575768","3/10/2018 "," but if you believe conservative media up to& including NRATV, outsiders would imagine we are on the brink of civil war.  &  ppl r being duped and pitted up against each other. We generally want the same things 2nd in"", ""    I understand. Hey, I may be a libtard  advocate but I really do believe in the 2nd.... its not sound, needs a little clearer defining by the Supreme Court, BUT Im not here to take ppls guns away. I u"", 
""   If the kids came out against  then this wouldnt be a problem. They would be touting them as heros, not villians..."")"
"28707151","3/10/2018 ","What your bill DOESN??T DO Good start... DO MORE!"
"2885697642","3/10/2018 ","PRAYERS DON??T STOP BULLETS Buttons"
"2892639557","3/10/2018 ","More innocent lives are taken due to abortions than guns or (War style weapons) how about that..."
